date, pm25, pm10, o3, no2, co
2023/7/5, 73, 22, 18, 7, 16
2023/7/6, 78, 26, 19, 10, 16
2023/7/7, 89, 12, 10, 9, 16
2023/7/8, 56, 5, 12, 8, 16
2023/7/9, 19, 25, 8, 12, 16
2023/7/10, 69, 36, 29, 8, 18
2023/7/11, 95, 30, 22, 8, 16
2023/7/12, 83, 31, 20, 7, 16
2023/7/13, 76, 28, 21, 7, 15
2023/7/14, 70, , , , 
2023/7/17, 137, 37, 12, 7, 9
2023/7/18, 96, 35, 15, 14, 7
2023/7/19, 73, 43, 22, 10, 7
2023/7/20, 84, 16, 23, 10, 8
2023/7/21, 46, 31, 24, 9, 7
2023/7/22, 69, 27, 23, 7, 6
2023/7/23, 60, 42, 23, 7, 6
2023/7/24, 89, 38, 22, 12, 6
2023/7/25, 90, 22, 17, 11, 7
2023/7/26, 56, 29, 16, 9, 8
2023/7/27, 77, 37, 27, 10, 7
2023/7/28, 81, , 11, 16, 7
2023/7/30, 37, , , , 
2023/8/3, 67, 37, 15, 33, 8
2023/8/4, 57, 25, 17, 11, 8
2023/8/5, 51, 37, 20, 8, 6
2023/8/6, 57, 59, 17, 8, 5
2023/8/7, 78, , , , 
2023/8/9, 76, 57, 14, 9, 6
2023/8/10, 80, 57, 17, 10, 6
2023/8/11, 82, 52, 14, 11, 6
2023/8/12, 87, 36, 13, 8, 6
2023/8/13, 45, 56, 18, 8, 7
2023/8/14, 91, 61, 21, 8, 7
2023/8/15, 114, 70, 23, 9, 7
2023/8/16, 112, 76, 18, 10, 6
2023/8/17, 104, 80, 18, 9, 5
2023/8/18, 97, 25, 18, 12, 7
2023/8/19, 75, , , , 
2023/8/22, 77, 37, 8, 7, 6
2023/8/23, 61, 45, 12, 9, 6
2023/8/24, 52, 59, 15, 7, 6
2023/8/25, 79, 76, 16, 10, 6
2023/8/26, 97, 110, 16, 7, 6
2023/8/27, 117, 74, 15, 7, 6
2023/8/28, 92, 73, 11, 7, 6
2023/8/29, 69, 86, 21, 7, 7
2023/8/30, 116, 62, 22, 7, 7
2023/8/31, 112, 81, 19, 7, 7
2023/9/1, 111, 57, 20, 16, 7
2023/9/2, 62, 69, 17, 13, 7
2023/9/3, 78, 45, 17, 9, 7
2023/9/4, 51, 48, 30, 12, 8
2023/9/5, 95, 33, 17, 9, 7
2023/9/6, 51, , , , 
2023/9/9, 60, , 9, 7, 7
2023/9/10, 1, 29, 18, 9, 9
2023/9/11, 65, 66, 22, 10, 10
2023/9/12, 123, 49, 20, 8, 8
2023/9/13, 98, 61, 19, 6, 8
2023/9/14, 114, 47, 29, 16, 11
2023/9/15, 84, 52, 16, 6, 9
2023/9/16, 97, 21, 16, 4, 6
2023/9/17, 17, 23, 15, 5, 7
2023/9/19, 47, 44, 17, 6, 8
2023/9/20, 84, 52, 19, 7, 7
2023/9/21, 93, 38, 24, 8, 12
2023/9/22, 76, 47, 14, 5, 11
2023/9/23, 101, 15, 1, 12, 17
2023/9/24, 21, 60, 31, 8, 17
2023/9/25, 117, 84, 28, 8, 16
2023/9/26, 155, 62, 17, 8, 16
2023/9/27, 119, 60, 20, 8, 15
2023/9/28, 85, 92, 24, 8, 16
2023/9/29, 143, 80, 22, 10, 17
2023/9/30, 136, 82, 21, 8, 16
2023/4/3, 157, 47, 41, 16, 3
2023/4/4, 80, 80, 42, 25, 4
2023/4/5, 124, 74, 41, 25, 3
2023/4/6, 90, 70, 41, 30, 3
2023/4/7, 133, 82, 48, 28, 3
2023/4/8, 153, 87, 49, 32, 5
2023/4/9, 136, 87, 51, 33, 4
2023/4/10, 127, 131, 48, 41, 7
2023/4/11, 201, 87, 35, 33, 5
2023/4/12, 88, 81, 44, 30, 4
2023/4/13, 120, 102, 43, 32, 6
2023/4/14, 112, 86, 42, 29, 4
2023/4/15, 132, 98, 35, 27, 4
2023/4/16, 118, 100, 44, 31, 5
2023/4/17, 123, 105, 27, 36, 5
2023/4/18, 151, 140, 11, 40, 7
2023/4/19, 147, 99, 40, 25, 4
2023/4/20, 126, 108, 32, 15, 3
2023/4/21, 121, 85, 49, 17, 3
2023/4/22, 110, 56, 34, 13, 2
2023/4/23, 60, 83, 43, 39, 5
2023/4/24, 107, 75, 53, 16, 4
2023/4/25, 127, 95, 71, 24, 5
2023/4/26, 141, 108, 18, 20, 6
2023/4/27, 183, 29, 47, 23, 5
2023/4/28, 73, 105, 36, 24, 4
2023/4/29, 124, 49, 43, 19, 3
2023/4/30, 103, 42, 25, 16, 4
2023/5/1, 100, 39, 32, 13, 3
2023/5/2, 91, 53, 32, 19, 4
2023/5/3, 96, 39, 46, 16, 4
2023/5/4, 85, 70, 55, 20, 4
2023/5/5, 138, 100, 39, 23, 6
2023/5/6, 141, 84, 57, 5, 4
2023/5/7, 131, 69, 44, 6, 4
2023/5/8, 118, 104, 67, 8, 5
2023/5/9, 145, 97, 62, 10, 5
2023/5/10, 143, 83, 65, 12, 6
2023/5/11, 137, 93, 61, 9, 5
2023/5/12, 144, 113, 73, 8, 7
2023/5/13, 166, 143, 27, 11, 11
2023/5/14, 156, 83, 41, 12, 7
2023/5/15, 73, 325, 32, 20, 8
2023/5/16, 109, 94, 41, 11, 9
2023/5/17, 102, 59, 47, 16, 9
2023/5/18, 74, 58, 57, 9, 9
2023/5/19, 103, , , , 
2023/5/22, 122, 95, 29, 8, 8
2023/5/23, 57, 55, 30, 6, 8
2023/5/24, 55, 63, 38, 6, 8
2023/5/25, 66, 68, 39, 14, 8
2023/5/26, 81, 56, 34, 21, 2
2023/5/27, 138, 61, 24, 6, 5
2023/5/28, 167, , , , 
2023/5/30, 98, 26, 10, 6, 3
2023/5/31, 68, 33, 29, 8, 3
2023/6/1, 70, 55, 30, 5, 2
2023/6/2, 96, 66, 33, 5, 3
2023/6/3, 114, , , , 
2023/6/5, 133, 66, 38, 12, 4
2023/6/6, 195, 232, 29, 12, 2
2023/6/7, 122, 68, 37, 14, 5
2023/6/8, 82, 73, 24, 10, 3
2023/6/9, 85, 81, 18, 12, 6
2023/6/10, 90, 62, 16, 12, 15
2023/6/11, 74, , , , 
2023/6/13, 76, 55, 14, 12, 14
2023/6/14, 42, 56, 17, 11, 15
2023/6/15, 58, 47, 12, 15, 16
2023/6/16, 71, 18, 24, 24, 19
2023/6/17, 41, , , , 
2023/6/19, 69, 39, 12, 12, 17
2023/6/20, 77, 52, 13, 9, 16
2023/6/21, 87, 58, 13, 8, 16
2023/6/22, 84, 57, 16, 8, 16
2023/6/23, 92, , , , 
2023/6/26, 114, , 8, 8, 13
2023/6/27, 70, , 6, 9, 12
2023/6/28, 65, , 4, 11, 14
2023/6/29, 68, , 1, 19, 16
2023/6/30, 71, 16, 13, 9, 14
2023/1/2, 299, 194, 27, 15, 3
2023/1/3, 268, 136, 22, 11, 2
2023/1/4, 198, 135, 16, 13, 6
2023/1/5, 219, 218, 25, 17, 8
2023/1/6, 270, 150, 17, 14, 9
2023/1/7, 234, 152, 24, 12, 6
2023/1/8, 241, 378, 33, 19, 19
2023/1/9, 332, 199, 19, 13, 14
2023/1/10, 218, 120, 25, 12, 7
2023/1/11, 202, 138, 30, 8, 9
2023/1/12, 208, 144, 25, 9, 11
2023/1/13, 222, 110, 24, 8, 5
2023/1/14, 182, 74, 31, 7, 1
2023/1/15, 127, 106, 36, 11, 4
2023/1/16, 168, 106, 30, 10, 6
2023/1/17, 173, 130, 36, 13, 9
2023/1/18, 201, 114, 39, 11, 10
2023/1/19, 213, 91, 27, 10, 6
2023/1/20, 147, 107, 41, 8, 9
2023/1/21, 190, 189, 32, 10, 17
2023/1/22, 258, 131, 38, 10, 13
2023/1/23, 211, 66, 20, 6, 5
2023/1/24, 121, 71, 12, 8, 8
2023/1/25, 146, 102, 14, 7, 8
2023/1/26, 180, 79, 32, 8, 4
2023/1/27, 164, 90, 36, 8, 3
2023/1/28, 169, 124, 20, 8, 9
2023/1/29, 203, 26, 20, 7, 2
2023/1/30, 88, 70, 18, 7, 4
2023/1/31, 152, 70, 27, 6, 2
2023/2/1, 145, 71, 37, 7, 2
2023/2/2, 144, 76, 36, 8, 3
2023/2/3, 143, 101, 35, 9, 5
2023/2/4, 165, 88, 35, 8, 3
2023/2/5, 157, 80, 35, 7, 3
2023/2/6, 160, 102, 29, 8, 5
2023/2/7, 170, 75, 38, 11, 2
2023/2/8, 120, 83, 35, 20, 3
2023/2/9, 153, 86, 32, 16, 3
2023/2/10, 169, 119, 37, 23, 5
2023/2/11, 187, 83, 35, 20, 3
2023/2/12, 154, 59, 27, 14, 1
2023/2/13, 110, 66, 23, 17, 2
2023/2/14, 123, 96, 32, 25, 3
2023/2/15, 169, 112, 27, 31, 6
2023/2/16, 183, 176, 12, 29, 8
2023/2/17, 281, 166, 58, 36, 11
2023/2/18, 268, 122, 48, 21, 7
2023/2/19, 216, 109, 39, 15, 4
2023/2/20, 186, 114, 40, 18, 4
2023/2/21, 189, 141, 4, 23, 7
2023/2/22, 236, 46, 28, 16, 3
2023/2/23, 108, 90, 38, 24, 4
2023/2/24, 147, 107, 50, 27, 6
2023/2/25, 166, 119, 42, 24, 8
2023/2/26, 175, 109, 42, 28, 7
2023/2/27, 161, 101, 39, 25, 6
2023/2/28, 156, 87, 34, 26, 5
2023/3/1, 123, 125, 41, 39, 10
2023/3/2, 167, 78, 33, 18, 4
2023/3/3, 131, 73, 23, 19, 4
2023/3/4, 116, 67, 33, 16, 3
2023/3/5, 111, 72, 39, 18, 4
2023/3/6, 136, 74, 38, 22, 5
2023/3/7, 133, 65, 42, 12, 4
2023/3/8, 127, 51, 37, 14, 3
2023/3/9, 96, 85, 42, 20, 5
2023/3/10, 147, 80, 43, 18, 4
2023/3/11, 142, 84, 45, 19, 4
2023/3/12, 142, 103, 44, 29, 7
2023/3/13, 157, 94, 38, 25, 6
2023/3/14, 149, 93, 43, 32, 8
2023/3/15, 159, 96, 39, 19, 5
2023/3/16, 155, 87, 17, 22, 5
2023/3/17, 161, 86, 17, 21, 6
2023/3/18, 130, 53, 28, 21, 5
2023/3/19, 122, 38, 25, 21, 4
2023/3/20, 81, 45, 40, 19, 4
2023/3/21, 104, 71, 43, 21, 5
2023/3/22, 137, 58, 42, 21, 3
2023/3/23, 108, 80, 30, 24, 5
2023/3/24, 129, 44, 32, 13, 3
2023/3/25, 97, 95, 4, 35, 9
2023/3/26, 156, 62, 41, 16, 3
2023/3/27, 97, 91, 47, 35, 5
2023/3/28, 152, 88, 48, 30, 6
2023/3/29, 153, 85, 50, 24, 4
2023/3/30, 141, , , , 
2022/10/1, 147, 83, 36, 9, 13
2022/10/2, 149, 49, 19, 9, 11
2022/10/3, 68, 60, 24, 18, 13
2022/10/4, 110, 64, 42, 11, 14
2022/10/5, 104, 6, 16, 11, 11
2022/10/11, 45, 64, 35, 9, 15
2022/10/12, 125, 71, 34, 9, 14
2022/10/13, 125, 84, 40, 10, 14
2022/10/14, 145, , , , 
2022/10/24, 196, 100, 38, 9, 11
2022/10/25, 157, 87, 43, 7, 11
2022/10/26, 162, 113, 21, 8, 26
2022/10/27, 188, 133, 41, 9, 18
2022/10/28, 205, 172, 18, 9, 5
2022/10/29, 247, 134, 18, 11, 3
2022/10/30, 202, 216, 27, 15, 6
2022/10/31, 277, 163, 38, 14, 8
2022/11/1, 256, 160, 39, 14, 8
2022/11/2, 217, 431, 37, 16, 12
2022/11/3, 437, 265, 63, 13, 9
2022/11/4, 360, 133, 26, 10, 8
2022/11/5, 198, 135, 36, 9, 6
2022/11/6, 226, 126, 33, 11, 6
2022/11/7, 198, 164, 31, 13, 9
2022/11/8, 249, 80, 33, 9, 3
2022/11/9, 151, 110, 35, 12, 5
2022/11/10, 162, 180, 37, 13, 7
2022/11/11, 258, 145, 38, 12, 5
2022/11/12, 234, 107, 37, 12, 5
2022/11/13, 182, 85, 35, 9, 2
2022/11/14, 166, 98, 35, 13, 4
2022/11/15, 163, 100, 33, 12, 4
2022/11/16, 169, 109, 36, 12, 4
2022/11/17, 177, 111, 38, 13, 6
2022/11/18, 174, 106, 35, 15, 7
2022/11/19, 176, 142, 43, 16, 7
2022/11/20, 215, 111, 37, 16, 7
2022/11/21, 171, 93, 36, 15, 6
2022/11/22, 153, 100, 35, 14, 5
2022/11/23, 163, 100, 38, 14, 5
2022/11/24, 164, 94, 35, 20, 7
2022/11/25, 160, 143, 47, 17, 9
2022/11/26, 201, 125, 42, 13, 7
2022/11/27, 190, 120, 43, 14, 9
2022/11/28, 190, 148, 41, 17, 11
2022/11/29, 217, 130, 38, 16, 9
2022/11/30, 197, 139, 40, 15, 10
2022/12/1, 207, 137, 46, 14, 9
2022/12/2, 207, 102, 38, 11, 3
2022/12/3, 171, 148, 36, 13, 5
2022/12/4, 229, 111, 39, 15, 4
2022/12/5, 177, 144, 39, 14, 3
2022/12/6, 214, 110, 33, 11, 2
2022/12/7, 185, 117, 34, 14, 3
2022/12/8, 183, 115, 35, 15, 3
2022/12/9, 182, 125, 34, 15, 5
2022/12/10, 207, 131, 2, 20, 7
2022/12/12, 107, 84, 30, 11, 1
2022/12/13, 136, 81, 28, 12, 1
2022/12/14, 138, 81, 31, 15, 1
2022/12/15, 141, 98, 32, 16, 2
2022/12/16, 157, 115, 33, 17, 3
2022/12/17, 177, 148, 36, 16, 5
2022/12/18, 218, 181, 36, 16, 7
2022/12/19, 270, 161, 22, 18, 7
2022/12/20, 240, 196, 16, 21, 7
2022/12/21, 248, 154, 22, 16, 4
2022/12/22, 205, 104, 8, 19, 13
2022/12/23, 185, 168, , 16, 9
2022/12/24, 241, 132, 7, 14, 7
2022/12/25, 209, 156, 7, 16, 8
2022/12/26, 233, 94, 1, 12, 7
2022/12/27, 174, 103, 23, 13, 4
2022/12/28, 177, 124, 25, 16, 5
2022/12/29, 202, 180, 26, 12, 9
2022/12/30, 280, 124, 18, 10, 4
2022/12/31, 214, 83, 25, 11, 3
2023/1/1, 299, 133, 17, 12, 6
2022/7/1, 79, 130, 25, 10, 8
2022/7/2, 83, 77, 26, 9, 8
2022/7/3, 73, 124, 30, 12, 8
2022/7/4, 109, 159, 30, 11, 9
2022/7/5, 149, 74, 31, 8, 8
2022/7/6, 128, 72, 28, 10, 7
2022/7/7, 102, 96, 30, 10, 7
2022/7/8, 132, 69, 24, 11, 7
2022/7/9, 110, 56, 29, 10, 7
2022/7/10, 85, 56, 33, 14, 8
2022/7/11, 98, 74, 38, 18, 9
2022/7/12, 103, 65, 29, 15, 8
2022/7/13, 88, 40, 24, 13, 7
2022/7/14, 78, 46, 29, 11, 7
2022/7/15, 72, 50, 22, 11, 7
2022/7/16, 67, 56, 31, 11, 7
2022/7/17, 77, 72, 28, 12, 7
2022/7/18, 106, 65, 26, 13, 7
2022/7/19, 95, 232, 20, 12, 7
2022/7/20, 84, 41, 39, 12, 7
2022/7/21, 82, 55, 24, 11, 6
2022/7/22, 111, 37, 22, 9, 5
2022/7/23, 80, 39, 24, 8, 5
2022/7/24, 78, 32, 23, 8, 5
2022/7/25, 71, 35, 18, 9, 5
2022/7/26, 75, 44, 19, 9, 5
2022/7/27, 85, 37, 16, 16, 6
2022/7/28, 62, 25, 15, 11, 5
2022/7/29, 56, 32, 14, 20, 5
2022/7/30, 53, 38, 21, 10, 5
2022/7/31, 61, 44, 18, 10, 5
2022/8/1, 71, 50, 25, 10, 4
2022/8/2, 81, 63, 37, 11, 5
2022/8/3, 110, 50, 25, 9, 5
2022/8/4, 103, 31, 16, 7, 5
2022/8/5, 71, 45, 20, 8, 5
2022/8/6, 100, 40, 14, 8, 5
2022/8/7, 86, 51, 27, 9, 5
2022/8/8, 110, 49, 21, 9, 5
2022/8/9, 97, 37, 20, 8, 4
2022/8/10, 72, 35, 14, 8, 4
2022/8/11, 60, 41, 21, 7, 4
2022/8/12, 73, 32, 19, 7, 4
2022/8/13, 72, 41, 16, 7, 4
2022/8/14, 81, 28, 17, 7, 4
2022/8/15, 57, 34, 17, 7, 3
2022/8/16, 60, 21, 16, 7, 3
2022/8/17, 48, 38, 18, 7, 3
2022/8/18, 76, 37, 20, 8, 2
2022/8/19, 60, 50, 31, 8, 3
2022/8/20, 78, 69, 29, 9, 3
2022/8/21, 126, 58, 24, 8, 3
2022/8/22, 102, 39, 22, 7, 3
2022/8/23, 75, 38, 21, 8, 3
2022/8/24, 73, 46, 22, 8, 3
2022/8/25, 81, 60, 26, 8, 3
2022/8/26, 93, 68, 21, 8, 2
2022/8/27, 97, 81, 21, 8, 3
2022/8/28, 114, 77, 32, 8, 3
2022/8/29, 116, 64, 33, 9, 2
2022/8/30, 113, 76, 28, 9, 2
2022/8/31, 125, 78, 35, 10, 2
2022/9/1, 126, 71, 36, 9, 2
2022/9/2, 116, 60, 21, 8, 1
2022/9/3, 88, 52, 24, 7, 1
2022/9/4, 78, 61, 26, 8, 2
2022/9/5, 86, 71, 32, 9, 2
2022/9/6, 117, 75, 36, 9, 3
2022/9/7, 128, 88, 45, 9, 3
2022/9/8, 156, 76, 36, 7, 2
2022/9/9, 149, 61, 34, 7, 2
2022/9/10, 136, 48, 27, 7, 2
2022/9/11, 93, 48, 25, 7, 2
2022/9/12, 77, 24, 19, 16, 2
2022/9/13, 39, 32, 18, 8, 1
2022/9/14, 54, 22, 18, 8, 2
2022/9/15, 54, 13, 8, 23, 2
2022/9/16, 13, 73, 27, 8, 2
2022/9/17, 123, 69, 38, 9, 2
2022/9/18, 118, 96, 8, 11, 5
2022/9/19, 162, 60, 28, 8, 3
2022/9/20, 119, 56, 18, 14, 3
2022/9/21, 99, 25, 9, 24, 3
2022/9/22, 45, 3, 15, 22, 3
2022/9/24, 51, 21, 19, 10, 12
2022/9/25, 37, 53, 34, 9, 15
2022/9/26, 105, 41, 25, 12, 13
2022/9/27, 60, 66, 32, 8, 12
2022/9/28, 95, 57, 35, 13, 14
2022/9/29, 102, 85, 38, 9, 13
2022/9/30, 146, 88, 36, 10, 14
2022/4/1, 128, 92, 37, 5, 4
2022/4/2, 141, 100, 37, 5, 4
2022/4/3, 150, 85, 39, 5, 3
2022/4/4, 146, 92, 36, 5, 4
2022/4/5, 132, 98, 38, 5, 5
2022/4/6, 143, 97, 42, 5, 4
2022/4/7, 145, 91, 38, 5, 4
2022/4/8, 139, 78, 35, 5, 3
2022/4/9, 108, 88, 37, 5, 3
2022/4/10, 130, 91, 37, 5, 3
2022/4/11, 131, 93, 18, 10, 3
2022/4/12, 136, 112, 7, 18, 4
2022/4/13, 134, 109, 10, 15, 3
2022/4/14, 129, 121, 10, 16, 3
2022/4/15, 140, 128, 12, 18, 5
2022/4/16, 173, 105, 10, 16, 5
2022/4/17, 156, 101, 11, 17, 5
2022/4/18, 156, 125, 11, 19, 4
2022/4/19, 147, 120, 11, 19, 4
2022/4/20, 140, 145, 8, 22, 6
2022/4/21, 162, 123, 12, 18, 4
2022/4/22, 142, 125, 12, 21, 5
2022/4/23, 143, 160, 13, 21, 5
2022/4/24, 168, 140, 13, 18, 5
2022/4/25, 162, 147, 12, 17, 3
2022/4/26, 148, 147, 13, 22, 5
2022/4/27, 167, 201, 11, 26, 7
2022/4/28, 209, 123, 13, 25, 4
2022/4/29, 144, 95, 11, 21, 3
2022/4/30, 132, 131, 14, 15, 4
2022/5/1, 136, 120, 13, 13, 4
2022/5/2, 154, 200, 12, 14, 5
2022/5/3, 167, 137, 35, 16, 5
2022/5/4, 163, 129, 10, 19, 5
2022/5/5, 170, 70, 10, 16, 4
2022/5/6, 91, 102, 33, 22, 4
2022/5/7, 130, 155, 27, 17, 5
2022/5/8, 162, 100, 17, 16, 5
2022/5/9, 155, 166, 23, 13, 4
2022/5/10, 149, 193, 28, 12, 4
2022/5/11, 140, 94, 19, 12, 5
2022/5/12, 155, 248, 29, 15, 4
2022/5/13, 157, 143, 29, 19, 2
2022/5/14, 228, 137, 31, 19, 4
2022/5/15, 127, 387, 29, 14, 3
2022/5/16, 155, 195, 48, 11, 3
2022/5/17, 124, 165, 57, 12, 4
2022/5/18, 145, 177, 40, 15, 4
2022/5/19, 156, 249, 32, 18, 4
2022/5/20, 143, 177, 27, 12, 2
2022/5/21, 94, 112, 49, 5, 3
2022/5/22, 91, 67, 32, 12, 3
2022/5/23, 82, 68, 35, 11, 3
2022/5/24, 81, 130, 57, 17, 5
2022/5/25, 149, 143, 78, 20, 6
2022/5/26, 156, 164, 41, 16, 4
2022/5/27, 140, 210, 34, 13, 4
2022/5/28, 136, 200, 56, 12, 3
2022/5/29, 130, 141, 19, 14, 4
2022/5/30, 138, 231, 46, 18, 3
2022/5/31, 150, 182, 45, 18, 3
2022/6/1, 139, 144, 52, 20, 2
2022/6/2, 134, 145, 46, 22, 3
2022/6/3, 140, 117, 43, 20, 2
2022/6/4, 128, 126, 28, 17, 1
2022/6/5, 104, 113, 47, 15, 1
2022/6/6, 89, 323, 31, 17, 1
2022/6/7, 150, 210, 26, 19, 1
2022/6/8, 128, 159, 29, 15, 
2022/6/9, 107, 215, 25, 20, 1
2022/6/10, 126, 162, 26, 19, 1
2022/6/11, 121, 158, 30, 16, 1
2022/6/12, 127, 122, 30, 12, 1
2022/6/13, 90, 124, 28, 11, 1
2022/6/14, 95, 79, 29, 10, 1
2022/6/15, 75, 86, 41, 11, 1
2022/6/16, 75, 68, 25, 12, 1
2022/6/17, 69, 78, 33, 13, 1
2022/6/18, 96, 78, 21, 12, 1
2022/6/19, 76, 85, 31, 13, 1
2022/6/20, 93, 89, 28, 12, 1
2022/6/21, 84, 96, 42, 13, 1
2022/6/22, 119, , , , 
2022/6/24, 140, 134, 55, 22, 10
2022/6/25, 146, 97, 42, 11, 9
2022/6/26, 141, 84, 38, 9, 8
2022/6/27, 139, 95, 43, 9, 9
2022/6/28, 147, 101, 40, 10, 9
2022/6/29, 117, 98, 23, 11, 8
2022/6/30, 67, 112, 22, 11, 9
2022/1/3, 246, 120, 26, 11, 12
2022/1/4, 211, 143, 24, 11, 17
2022/1/5, 261, 88, 25, 5, 10
2022/1/6, 189, 59, 24, 4, 9
2022/1/7, 149, 23, 20, 13, 10
2022/1/8, 84, 22, 20, 5, 9
2022/1/9, 64, 78, 20, 7, 10
2022/1/10, 136, 77, 26, 6, 10
2022/1/11, 151, 76, 26, 5, 10
2022/1/12, 138, 211, 23, 9, 18
2022/1/13, 245, 163, 16, 12, 22
2022/1/14, 231, 71, 15, 7, 10
2022/1/15, 128, 103, 21, 5, 9
2022/1/16, 166, 100, 20, 4, 10
2022/1/17, 165, 141, 20, 6, 11
2022/1/18, 191, 165, 24, 6, 13
2022/1/19, 198, 160, 18, 5, 15
2022/1/20, 204, 109, 22, 6, 15
2022/1/21, 171, 99, 22, 5, 12
2022/1/22, 173, 65, 15, 5, 11
2022/1/23, 126, 73, 18, 6, 11
2022/1/24, 126, 97, 15, 6, 14
2022/1/25, 152, 106, 23, 5, 13
2022/1/26, 157, 89, 31, 6, 12
2022/1/27, 134, 94, 36, 4, 10
2022/1/28, 152, 76, 33, 5, 11
2022/1/29, 124, 131, 36, 6, 11
2022/1/30, 138, 166, 36, 3, 12
2022/1/31, 184, 167, 30, 3, 14
2022/2/1, 195, 167, 36, 3, 11
2022/2/2, 195, 116, 21, 3, 12
2022/2/3, 170, 55, 15, 3, 10
2022/2/4, 85, 108, 21, 3, 15
2022/2/5, 159, 87, 31, 3, 11
2022/2/6, 134, 113, 31, 3, 11
2022/2/7, 161, 137, 32, 3, 12
2022/2/8, 171, 88, 23, 2, 10
2022/2/9, 130, 113, 30, 2, 10
2022/2/10, 134, 105, 35, 2, 9
2022/2/11, 143, 100, 35, 2, 9
2022/2/12, 140, 120, 34, 2, 10
2022/2/13, 155, 100, 34, 2, 10
2022/2/14, 129, 94, 42, 11, 10
2022/2/15, 112, 129, 36, 2, 12
2022/2/16, 163, 131, 27, 4, 13
2022/2/17, 153, 124, 31, 5, 13
2022/2/18, 148, 108, 61, 6, 10
2022/2/19, 150, 103, 30, 6, 10
2022/2/20, 152, 102, 19, 6, 9
2022/2/21, 129, 128, 32, 5, 6
2022/2/22, 143, 129, 24, 4, 5
2022/2/23, 174, 153, 32, 6, 6
2022/2/24, 179, 145, 34, 6, 5
2022/2/25, 170, 54, 29, 3, 2
2022/2/26, 71, 72, 28, , 2
2022/2/27, 95, 74, 30, 4, 3
2022/2/28, 96, 102, 31, 5, 4
2022/3/1, 141, 110, 31, 5, 6
2022/3/2, 143, 112, 30, 5, 5
2022/3/3, 148, 137, 28, 5, 5
2022/3/4, 139, 78, 32, 5, 3
2022/3/5, 117, 89, 35, 5, 4
2022/3/6, 136, 379, 37, 5, 5
2022/3/7, 165, 158, 37, 5, 5
2022/3/8, 142, 90, 30, 5, 4
2022/3/9, 124, 88, 31, 5, 3
2022/3/10, 124, 92, 31, 5, 4
2022/3/11, 127, 93, 36, 5, 4
2022/3/12, 143, 85, 4, 5, 5
2022/3/13, 159, 112, 38, 5, 7
2022/3/14, 145, 134, 41, 5, 5
2022/3/15, 165, 107, 10, 5, 5
2022/3/16, 160, 113, 53, 5, 5
2022/3/17, 161, 130, 30, 5, 6
2022/3/18, 186, , , , 
2022/3/20, 140, 157, 37, 5, 5
2022/3/21, 181, 117, 33, 5, 3
2022/3/22, 157, 137, 34, 5, 4
2022/3/23, 170, 133, 26, 5, 3
2022/3/24, 110, 106, 30, 5, 3
2022/3/25, 133, 119, 37, 5, 4
2022/3/26, 159, 112, 32, 5, 3
2022/3/27, 142, 106, 34, 5, 3
2022/3/28, 132, 121, 27, 5, 3
2022/3/29, 121, 111, 37, 5, 4
2022/3/30, 146, 117, 41, 5, 6
2022/3/31, 178, 79, 37, 5, 3
2021/10/1, 108, 50, 25, 7, 7
2021/10/2, 91, 63, 2, 7, 8
2021/10/3, 114, , , , 
2021/10/8, 104, 97, 34, 7, 7
2021/10/9, 138, 91, 31, 7, 7
2021/10/10, 136, 78, 27, 7, 7
2021/10/11, 127, 99, 31, 9, 8
2021/10/12, 143, 112, 35, 8, 7
2021/10/13, 150, 106, 39, 9, 7
2021/10/14, 157, 105, 31, 10, 7
2021/10/15, 167, 180, 74, 11, 14
2021/10/16, 257, 130, 26, 11, 12
2021/10/17, 196, 8, 9, 11, 8
2021/10/18, 35, 49, 31, 8, 6
2021/10/19, 98, 109, 40, 9, 9
2021/10/20, 170, 114, 30, 9, 7
2021/10/21, 143, 84, 25, 8, 6
2021/10/22, 114, 73, 28, 5, 6
2021/10/23, 127, 75, 30, 6, 6
2021/10/24, 152, 49, 33, 7, 6
2021/10/25, 95, 86, 35, 7, 7
2021/10/26, 153, 117, 37, 10, 8
2021/10/27, 171, 122, 40, 8, 8
2021/10/28, 185, 106, 41, 10, 9
2021/10/29, 163, 122, 33, 18, 10
2021/10/30, 168, 115, 36, 14, 8
2021/10/31, 156, 112, 39, 6, 7
2021/11/1, 173, 136, 38, 5, 9
2021/11/2, 195, 129, 38, 5, 9
2021/11/3, 199, 287, 37, 6, 13
2021/11/4, 344, 488, 24, 5, 14
2021/11/5, 470, 331, 28, 6, 13
2021/11/6, 401, 186, 31, 9, 11
2021/11/7, 268, 198, 34, 7, 12
2021/11/8, 275, 212, 38, 8, 12
2021/11/9, 282, 190, 37, 12, 12
2021/11/10, 252, 240, 14, 13, 14
2021/11/11, 303, 419, 31, 15, 18
2021/11/12, 427, 265, 38, 13, 13
2021/11/13, 308, 134, 39, 11, 9
2021/11/14, 199, 156, 41, 13, 12
2021/11/15, 225, 193, 41, 13, 12
2021/11/16, 261, 138, 43, 11, 10
2021/11/17, 210, 136, 44, 10, 11
2021/11/18, 201, 120, 44, 10, 10
2021/11/19, 197, 161, 46, 11, 11
2021/11/20, 243, 150, 46, 11, 11
2021/11/21, 236, 131, 39, 7, 8
2021/11/22, 189, 120, 40, 8, 8
2021/11/23, 185, 126, 42, 7, 9
